lnf_code,3rd_tier_new,4th_tier_old,label_slug_new,label_slug_orig,pixel_count
557,Grassland,Fallow,Vegetation_Permaculture_Grassland,Vegetation_Special crops_Fallow_Fallow,27371
569,SpecialCultureAnnual,MixedCrop,Vegetation_AnnualCrop_SpecialCultureAnnual,Vegetation_Field crops_CropMix_MixedCrop,6022
572,Grassland,Biodiversity encouragement area,Vegetation_Permaculture_Grassland,Vegetation_Grassland_BiodiversityArea_Biodiversity encouragement area,3494
591,WinterRapeseed,,Vegetation_PerennialCrop_WinterRapeseed,Vegetation_Field crops_BroadLeafRowCrop_WinterRapeseed,219773
601,Grassland,Meadow,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Meadow_Meadow,3249831
602,Grassland,Meadow,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Meadow_Meadow,3249831
611,Grassland,Meadow,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Meadow_Meadow,3249831
612,Grassland,Meadow,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Meadow_Meadow,3249831
613,Grassland,Meadow,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Meadow_Meadow,3249831
616,Grassland,Pasture,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Pasture_Pasture,505770
617,Grassland,Pasture,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Pasture_Pasture,505770
618,Grassland,Pasture,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Pasture_Pasture,505770
621,Grassland,Meadow,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Meadow_Meadow,3249831
622,Grassland,Meadow,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Meadow_Meadow,3249831
625,Grassland,Pasture,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Pasture_Pasture,505770
631,SpecialCultureAnnual,,Vegetation_AnnualCrop_SpecialCultureAnnual,Vegetation_Field crops_BroadLeafRowCrop_Legumes,2666
634,Grassland,Meadow,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Meadow_Meadow,3249831
701,Vines,Vines,Vegetation_Permaculture_Vines,Vegetation_Orchards_OrchardCrop_Vines,56337
702,Orchards,Orchards,Vegetation_Permaculture_Orchards,Vegetation_Orchards_OrchardCrop_Apples,26699
703,Orchards,Orchards,Vegetation_Permaculture_Orchards,Vegetation_Orchards_OrchardCrop_Pears,4442
704,Orchards,,Vegetation_Permaculture_Orchards,Vegetation_Orchards_OrchardCrop_StoneFruit,6038
705,SpecialCulturePerennial,Berries,Vegetation_PerennialCrop_SpecialCulturePerennial,Vegetation_Special crops_Berries_Berries,13969
708,SpecialCulturePerma,Hops,Vegetation_Permaculture_SpecialCulturePerma,Vegetation_Orchards_OrchardCrop_Hops,774
712,SpecialCulturePerma,,Vegetation_Permaculture_SpecialCulturePerma,Vegetation_Orchards_TreeCrop_TreeCrop,8906
713,SpecialCulturePerma,,Vegetation_Permaculture_SpecialCulturePerma,Vegetation_Orchards_TreeCrop_TreeCrop,8906
717,Vines,Vines,Vegetation_Permaculture_Vines,Vegetation_Orchards_OrchardCrop_Vines,56337
720,Orchards,Chestnut,Vegetation_Permaculture_Orchards,Vegetation_Orchards_OrchardCrop_Chestnut,11
722,Orchards,,Vegetation_Permaculture_Orchards,Vegetation_Orchards_OrchardCrop_Vines,56337
735,Vines,,Vegetation_Permaculture_Vines,Vegetation_Orchards_OrchardCrop_Vines,56337
852,SpecialCulturePerma,Hedge,Vegetation_Permaculture_SpecialCulturePerma,Vegetation_Special crops_Hedge_Hedge,27329
857,SpecialCulturePerma,Hedge,Vegetation_Permaculture_SpecialCulturePerma,Vegetation_Special crops_Hedge_Hedge,27329
858,SpecialCulturePerma,Hedge,Vegetation_Permaculture_SpecialCulturePerma,Vegetation_Special crops_Hedge_Hedge,27329
902,SpecialCulturePerma,Multiple,Vegetation_Permaculture_SpecialCulturePerma,Vegetation_Special crops_Multiple_Multiple,446
908,Grassland,Biodiversity encouragement area,Vegetation_Permaculture_Grassland,Vegetation_Grassland_BiodiversityArea_Biodiversity encouragement area,3494
909,SpecialCulturePerma,Gardens,Vegetation_Permaculture_SpecialCulturePerma,Vegetation_Special crops_Gardens_Gardens,38
930,Grassland,Pasture,Vegetation_Permaculture_Grassland,Vegetation_Grassland_Pasture_Pasture,505770
